Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Total - All Places of Death,0,693,47,0,12,59,
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,"Healthcare setting, inpatient",0,183,26,0,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,"Healthcare setting, outpatient or emergency room",0,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Decedent's home,0,130,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Hospice facility,0,87,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Nursing home/long term care facility,0,217,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Other,0,37,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Total - All Places of Death,,744,67,0,,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,"Healthcare setting, inpatient",,193,38,0,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,"Healthcare setting, outpatient or emergency room",0,31,0,0,0,0,
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Decedent's home,0,168,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Hospice facility,0,87,11,0,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Nursing home/long term care facility,0,231,12,0,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Other,0,33,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Total - All Places of Death,21,697,52,,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,"Healthcare setting, inpatient",,151,27,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,"Healthcare setting, outpatient or emergency room",,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Decedent's home,,154,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Hospice facility,0,69,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Nursing home/long term care facility,10,239,13,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Other,0,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Total - All Places of Death,44,718,63,17,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, inpatient",18,188,35,,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, outpatient or emergency room",,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Decedent's home,,197,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Hospice facility,,79,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Nursing home/long term care facility,18,171,,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Other,,37,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Total - All Places of Death,40,671,42,19,0,63,
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, inpatient",30,161,24,16,0,38,
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, outpatient or emergency room",,45,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Decedent's home,,185,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Hospice facility,,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Nursing home/long term care facility,,164,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Other,0,44,0,0,0,0,
12/29/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Total - All Places of Death,50,740,66,26,0,90,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, inpatient",29,208,49,19,0,59,
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, outpatient or emergency room",,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Decedent's home,,205,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Hospice facility,,75,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Nursing home/long term care facility,13,162,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Other,0,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Total - All Places of Death,49,785,64,19,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, inpatient",30,228,44,15,0,59,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, outpatient or emergency room",0,47,0,0,0,0,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Decedent's home,,192,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Hospice facility,,74,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Nursing home/long term care facility,17,184,10,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Other,0,59,0,0,0,0,
12/29/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Total - All Places of Death,116,803,83,55,0,144,
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, inpatient",62,229,61,43,0,80,
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, outpatient or emergency room",,48,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Decedent's home,,175,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Hospice facility,,84,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Nursing home/long term care facility,37,230,11,,0,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Other,0,35,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Total - All Places of Death,265,1006,150,107,0,308,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, inpatient",130,309,99,76,0,153,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, outpatient or emergency room",,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Decedent's home,,211,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Hospice facility,,92,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Nursing home/long term care facility,116,313,34,25,0,125,
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Other,,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Total - All Places of Death,701,1457,315,274,,742,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, inpatient",313,483,224,198,,339,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, outpatient or emergency room",11,53,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Decedent's home,23,244,10,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Hospice facility,15,109,12,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Nursing home/long term care facility,333,523,59,54,0,338,
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Other,,45,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Total - All Places of Death,427,1082,238,189,0,476,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, inpatient",241,401,188,163,0,266,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, outpatient or emergency room",11,58,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Decedent's home,21,211,,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Hospice facility,17,95,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Nursing home/long term care facility,135,291,24,13,0,146,
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Other,,26,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Total - All Places of Death,188,904,143,98,,233,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, inpatient",115,316,108,78,0,145,
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, outpatient or emergency room",,49,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Decedent's home,15,224,10,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Hospice facility,11,90,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Nursing home/long term care facility,42,200,15,,0,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Other,,25,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Total - All Places of Death,70,712,77,36,0,111,
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, inpatient",40,203,56,28,0,68,
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, outpatient or emergency room",,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Decedent's home,,189,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Hospice facility,,75,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Nursing home/long term care facility,18,167,,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Other,,29,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Total - All Places of Death,39,734,65,13,0,91,
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,"Healthcare setting, inpatient",21,220,51,11,0,61,
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,"Healthcare setting, outpatient or emergency room",,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Decedent's home,,197,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Hospice facility,,80,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Nursing home/long term care facility,,163,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Other,0,32,0,0,0,0,
12/29/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Total - All Places of Death,41,681,61,25,0,77,
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,"Healthcare setting, inpatient",33,207,46,21,0,58,
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,"Healthcare setting, outpatient or emergency room",,43,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Decedent's home,,154,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Hospice facility,,62,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Nursing home/long term care facility,,173,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Other,0,41,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Total - All Places of Death,32,696,67,18,0,81,
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,"Healthcare setting, inpatient",21,218,49,15,0,55,
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,"Healthcare setting, outpatient or emergency room",,42,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Decedent's home,,158,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Hospice facility,,85,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Nursing home/long term care facility,,162,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Other,,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,Total - All Places of Death,15,671,40,,0,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,"Healthcare setting, inpatient",,195,33,,0,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,"Healthcare setting, outpatient or emergency room",,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,Decedent's home,,179,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,Hospice facility,,65,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,Nursing home/long term care facility,,144,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,Other,0,49,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,06/01/2021,06/30/2021,By Month,2021,6,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,Total - All Places of Death,13,709,45,,0,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,"Healthcare setting, inpatient",,210,31,,0,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,"Healthcare setting, outpatient or emergency room",,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,Decedent's home,,173,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,Hospice facility,0,84,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,Nursing home/long term care facility,,158,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,Other,,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,07/01/2021,07/31/2021,By Month,2021,7,South Dakota,Place of death unknown,0,0,0,0,0,0,
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,South Dakota,Total - All Places of Death,35,744,64,24,0,75,
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,South Dakota,"Healthcare setting, inpatient",29,227,43,22,0,50,
12/29/2021,08/01/2021,08/31/2021,By Month,2021,8,South Dakota,"Healthcare setting, outpatient or emergency room",0,41,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
